question,opt_a,opt_b,opt_c,opt_d,correct,explanation
В каком году Полоцк впервые упоминается в летописи «Повесть временных лет»?,862 г.,882 г.,980 г.,988 г.,a,Полоцк впервые упоминается в летописи «Повесть временных лет» в 862 г. К тому моменту город уже был крупным поселением и играл важную роль в регионе.
Как звали первого достоверно известного полоцкого князя?,Изяслав,Брячислав,Рогволод,Всеслав,c,"Первым достоверно известным полоцким князем был Рогволод, имевший балтское или варяжское происхождение."
Почему Владимир напал на Полоцк в конце X в.?,Полоцк отказался платить дань Киеву,"Князь Рогволод отказался выдать Рогнеду за Владимира, отдав её предпочтение Ярополку",Полоцк напал на Новгород,Владимир хотел захватить торговый путь,b,"Рогволод согласился отдать дочь Рогнеду за киевского князя Ярополка, отказав новгородскому князю Владимиру, что послужило поводом для войны."
"Кто заступился за Рогнеду, когда Владимир хотел её казнить за попытку покушения?",Изяслав,Брячислав,Ярослав Мудрый,Всеслав Чародей,a,"Малолетний сын Изяслав заступился за мать с мечом в руках, что впечатлило Владимира. Владимир выслал Рогнеду с сыном в Полоцкую землю и основал город Изяславль."
При каком князе произошло усиление Полоцкого княжества в первой половине XI в.?,Рогволоде,Изяславе,Брячиславе,Всеславе Чародее,c,При сыне Изяслава — Брячиславе (правил в 1003–1044 гг.) — Полоцкое княжество расширило территорию и усилило контроль за торговым путём «Из варяг в греки».
В каком году произошла битва на реке Немига?,980 г.,1067 г.,1101 г.,1044 г.,b,Битва на реке Немига (современный Минск) произошла 3 марта 1067 г. между войсками Всеслава Чародея и тремя сыновьями Ярослава Мудрого.
Кто такой Всеслав Чародей?,"Киевский князь, разгромивший Полоцк","Полоцкий князь, правивший более 50 лет (1044–1101 гг.)","Новгородский князь, захвативший Полоцк",Сын Ярослава Мудрого,b,"Всеслав, прозванный Чародеем, правил в Полоцке с 1044 по 1101 г. Он расширил территорию княжества, захватил Новгород, а после освобождения из киевской тюрьмы 7 месяцев был Великим Князем Киевским."
Что такое «вече» в Полоцком княжестве?,"Народное собрание взрослых мужчин, решавшее важные государственные вопросы",Княжеский совет из бояр,Религиозный обряд,Налоговый сбор,a,"Вече — общее собрание взрослых мужчин, которое могло назначать или снимать князя, заключать договоры и объявлять войны. Решение принималось по силе крика сторонников."
Какой сборник законов действовал в Полоцком княжестве?,Статут ВКЛ,Русская Правда,Судебник,Соборное уложение,b,"Наиболее известным сборником законов того времени являлась «Русская Правда» Ярослава Мудрого, которая действовала и в Полоцком княжестве."
В каком году впервые упоминается Туров?,862 г.,882 г.,980 г.,988 г.,c,Туров впервые упоминается в 980 г. Туровское княжество располагалось на территории современного белорусского Полесья.
Чем Туровское княжество отличалось от Полоцкого в отношениях с Киевом?,Туров всегда был независим от Киева,Туровское княжество находилось в серьёзной зависимости от Киева и подчинялось наследнику киевского престола,Туров платил дань Полоцку,Туров воевал с Киевом за независимость,b,"Туровская земля являлась волостью киевских князей — зачастую она подчинялась старшему сыну киевского князя. Это отличало её от Полоцка, который оставался более самостоятельным."
Какой город Туровского княжества возвысился над Туровом в период феодальной раздробленности?,Минск,Пинск,Витебск,Гродно,b,Пинск располагался на важном водном пути из Киева в Польшу. С течением времени Пинск возвысился над Туровом и стал играть важную роль в экономической и политической жизни княжества.
Когда в Турове установилась самостоятельная княжеская династия?,В начале X в.,В середине XII в.,В конце XI в.,В XIII в.,b,"Только в середине XII в. в Турове установилась самостоятельная княжеская династия, до этого княжество находилось в зависимости от Киева."
Что произошло с Полоцким княжеством при сыновьях Всеслава Чародея?,Оно достигло наивысшего расцвета,"Оно распалось на более мелкие княжества (Минское, Витебское, Изяславское)",Оно объединилось с Туровским княжеством,Оно было завоёвано Киевом,b,"При сыновьях Всеслава Полоцкое княжество потеряло былое могущество и начало приходить в упадок, распавшись на более мелкие княжества — начался период феодальной раздробленности."
