question,opt_a,opt_b,opt_c,opt_d,correct,explanation
На сколько периодов делится история первобытного общества? Названия периодов связаны с...,Материалом для изготовления орудий труда,Местом обитания древних людей,Количеством найденных стоянок,Видом хозяйственной деятельности,a,"Каменный век, бронзовый век, железный век — названия связаны с материалом для орудий труда."
Какой период является самым древним в истории первобытного общества на территории Беларуси?,Палеолит,Мезолит,Неолит,Железный век,a,Палеолит (древнекаменный век) — самый длительный период каменного века.
Какая стоянка является самой древней на территории Беларуси?,У деревни Юровичи (24 тыс. лет до н.э.),У деревни Бердыж (21 тыс. лет до н.э.),Красносельские шахты,Городища балтов,a,Самая древняя стоянка (24 тыс. лет до н.э.) находится у деревни Юровичи (Гомельская область).
Каким было основное занятие кроманьонцев на территории Беларуси?,Земледелие,Охота и собирательство,Ремесло и торговля,Скотоводство,b,Основным занятием кроманьонцев являлись охота и собирательство (присваивающее хозяйство).
Какое важное изобретение было сделано в позднеледниковый период?,Бронзовый топор,Лук и стрелы,Глиняная посуда,Железный плуг,b,"В позднеледниковый период были изобретены лук и стрелы, что позволило более эффективно охотиться."
Что принесли с собой индоевропейцы в бронзовом веке?,Лук и стрелы,Производящие виды хозяйства и бронзовые изделия,Глиняную посуду,Религиозные верования,b,"Индоевропейцы принесли производящие виды хозяйства (животноводство и земледелие), а также бронзовые и медные изделия."
Какие уникальные исторические шахты по добыче кремня находятся на территории Беларуси?,Солигорские шахты,Красносельские шахты,Березовские шахты,Житковичские шахты,b,"Красносельские шахты — уникальный исторический объект, где древние люди массово добывали кремень."
В каком веке начался железный век на территории Беларуси?,VII в. до н.э.,III в. до н.э.,I в. н.э.,V в. н.э.,a,Железный век начался в VII в. до н.э. с открытия способа выплавки железа из болотной руды.
Какие три вида земледелия сложились на территории Беларуси в бронзовом и железном веках?,"Мотыжное, подсечно-огневое, пашенное","Ирригационное, террасное, поливное","Парниковое, тепличное, полевое","Огородное, садовое, лесное",a,"Три основных вида: мотыжное, подсечно-огневое (лядное) и пашенное земледелие."
Какая форма религии связана с верой в существование особой мистической связи между группой людей и определённым видом животных или растений?,Анимизм,Тотемизм,Фетишизм,Магия,b,Тотемизм — вера в мистическую связь между группой людей и определённым видом животных или растений.
Что такое «крица» в железном веке?,Древнее орудие труда,"Пористая масса железа, полученная в домнице",Укреплённое поселение,Земляная насыпь над могилой,b,"Крица — пористая масса железа, получаемая при выплавке из болотной руды в домнице."
Что такое «соседская община»?,Объединение только по кровному принципу,Объединение людей по кровному и соседскому принципу,Временный союз племён,Религиозная группа,b,"Соседская община — объединение людей не только по кровному, но и по соседскому принципу."
Какой торговый путь проходил через территорию Беларуси?,Великий шёлковый путь,Янтарный путь,Путь из варяг в греки,Соляной путь,b,"Через территорию Беларуси проходил «янтарный путь», связывавший Прибалтику и Средиземноморье."
Как называется обычай насыпать земляную насыпь над могилой?,Дольмен,Курган,Менгир,Кромлех,b,"Курган — земляная насыпь над могилой, часть похоронного обряда древних людей."
